StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8_Id,Q8_Name,Q8_Size,Q8_Type,Q18,Q1,Q2,Q13,Q17,Random ID,id,group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Sign here if you agree. If you do not accept, please close the survey now. - Id","Sign here if you agree. If you do not accept, please close the survey now. - Name","Sign here if you agree. If you do not accept, please close the survey now. - Size","Sign here if you agree. If you do not accept, please close the survey now. - Type",Are you part of the SONA participant pool?,What is your gender?,How old are you?,What device did you use for the tracking tasks?,"If you experienced any (technical) problems during this experiment, please note them down below.",Random ID,id,group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8_FILE_ID""}","{""ImportId"":""QID8_FILE_NAME""}","{""ImportId"":""QID8_FILE_SIZE""}","{""ImportId"":""QID8_FILE_TYPE""}","{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""id""}","{""ImportId"":""group""}"
2023-05-03 06:43:30,2023-05-03 07:16:50,IP Address,137.56.93.139,100,2000,True,2023-05-03 07:16:52,R_ZJjWYha83DoGvNn,,,,,51.5542,5.0661,anonymous,EN,F_0uosDRPogJfOqyt,signature.png,8226,image/png,Yes,Male,25,Computer Mouse,,92839,15777,A
2023-05-03 07:06:17,2023-05-03 07:39:10,IP Address,137.56.89.181,100,1973,True,2023-05-03 07:39:11,R_2ZUpt8D25GvbDsH,,,,,51.5653,5.0543,anonymous,EN,F_3p3WhgU6quVjNDV,signature.png,8836,image/png,Yes,Male,20,Computer Mouse,,71122,15617,
2023-05-03 06:11:52,2023-05-03 06:59:22,IP Address,86.83.246.181,57,2850,False,2023-05-03 07:47:31,R_xGfFqQeFEzN0QPD,,,,,,,anonymous,EN,F_XLowG3vtLhS6sUN,signature.png,15932,image/png,"No, the link for this study was sent to me through WhatsApp/Mail.",Female,66,Touchpad,,14786,,B
2023-05-03 06:07:33,2023-05-03 06:46:10,IP Address,217.76.18.164,57,2317,False,2023-05-03 07:47:33,R_RIANWFhTUH31aW5,,,,,,,anonymous,EN,F_sjtWr57xN314Arn,signature.png,14894,image/png,Yes,Female,23,Touchpad,,17996,15245,B
2023-05-03 05:44:55,2023-05-03 06:55:22,IP Address,213.34.59.242,57,4226,False,2023-05-03 07:47:33,R_4MU7I6XlYFeNE8V,,,,,,,anonymous,EN,F_2usxS2Uumx6pv7X,signature.png,8818,image/png,Yes,Female,19,Touchpad,,15496,15639,A
2023-05-03 04:36:55,2023-05-03 07:42:24,IP Address,137.56.52.247,57,11129,False,2023-05-03 07:47:34,R_sp2p6vdblFonzr3,,,,,,,anonymous,EN,F_2WJxURmv7rekAPS,signature.png,6790,image/png,Yes,Female,23,Touchpad,,29635,15770,B
2023-05-03 04:25:10,2023-05-03 05:04:34,IP Address,86.85.79.182,57,2364,False,2023-05-03 07:47:36,R_1hEHwCLykq67dp5,,,,,,,anonymous,EN,F_D6jlsO8r3ZqDMnD,signature.png,8076,image/png,"No, the link for this study was sent to me through WhatsApp/Mail.",Male,53,Computer Mouse,,90634,,A
2023-05-03 07:13:54,2023-05-03 07:48:11,IP Address,84.104.87.230,100,2056,True,2023-05-03 07:48:13,R_2wysLAkHv17b4cw,,,,,51.5567,5.0789,anonymous,EN,F_2DP7jVknvmHX8Vi,signature.png,9505,image/png,"No, the link for this study was sent to me through WhatsApp/Mail.",Female,24,Computer Mouse,"During the second experiment, where you had to press space, the first one the circle dissapeared and had to press space and r for it to re-appear",67733,,B
2023-05-03 08:37:15,2023-05-03 09:12:51,IP Address,83.247.54.236,100,2136,True,2023-05-03 09:12:54,R_1hEUIoJmd2IbUAL,,,,,52.0158,4.7247,anonymous,EN,F_3lWGHIv0Dt0EOcY,signature.png,8137,image/png,Yes,Female,22,Touchpad,"When pressing SPACE because I was mind wandering and continuing again, I did not see the circle/target. I had to press SPACE again and then I saw it back. ",87869,15758,B
2023-05-03 08:42:31,2023-05-03 09:14:33,IP Address,45.92.225.168,100,1921,True,2023-05-03 09:14:35,R_129F40C79Ru1mH1,,,,,51.482,5.6641,anonymous,EN,F_AoAMsgsu4xpZU8F,signature.png,10957,image/png,Yes,Female,19,Touchpad,,73813,15279,A
2023-05-03 08:59:03,2023-05-03 09:32:13,IP Address,83.84.108.92,100,1989,True,2023-05-03 09:32:14,R_sbuc0jOMeUzHHuV,,,,,51.5869,4.7471,anonymous,EN,F_3KUzOGQQF1Xirg6,signature.png,6032,image/png,Yes,Female,19,Touchpad,,63183,15422,A
2023-05-03 09:05:39,2023-05-03 09:40:01,IP Address,31.20.83.19,100,2061,True,2023-05-03 09:40:03,R_1YTyxOxVlNSgdEt,,,,,51.9975,4.3604,anonymous,EN,F_2WZtxZd3GBs3UGQ,signature.png,4030,image/png,Yes,Female,21,Touchpad,the touchpad was extremally hard to use for this task,62556,15387,A
2023-05-03 09:08:57,2023-05-03 09:40:56,IP Address,86.95.169.3,100,1919,True,2023-05-03 09:40:59,R_3Mg7XjtvmKSZ8Xd,,,,,51.5159,3.8857,anonymous,EN,F_2WUKKkpzvoIff7s,signature.png,11387,image/png,Yes,Female,20,Touchpad,one time I didn't see the target,97645,15251,B
2023-05-03 09:05:35,2023-05-03 09:45:45,IP Address,137.56.33.169,100,2410,True,2023-05-03 09:45:47,R_3HOlH2ELpClKSsa,,,,,51.5652,5.0552,anonymous,EN,F_OP4nRmduh2mnhzr,signature.png,9709,image/png,Yes,Male,19,Touchpad,"it was a lot more challenging to do the experiment properly while using a touchpad because I was more limited to the movements of the circle. Yes, I experienced two technical problems. First, in the first experiment, the circle disappeared for a few seconds after I clicked on the tab button for the first time but when I clicked again the circle appeared. Then during the second experiment after my first answer to the question which popped, the circle disappeared for the whole cycle and even tapping buttons didn’t help but it appeared at the beginning of the next cycle.",50121,15513,A
