,Participant,Group,window,report,MW,MSD
0,11003,B,5,probe,f,0.014903832678058108
1,11003,B,5,probe,a,0.015599617903544504
2,11003,B,5,probe,a,0.0197446229385408
3,11003,B,5,probe,a,0.015610691691067581
4,11003,B,5,probe,a,0.022769880384732755
5,11003,B,5,probe,u,0.024305519587948504
6,11003,B,10,probe,f,0.021868105998438834
7,11003,B,10,probe,a,0.01687369976766647
8,11003,B,10,probe,a,0.01623384271310929
9,11003,B,10,probe,a,0.023343520380649064
10,11003,B,10,probe,a,0.018548031315516952
11,11003,B,10,probe,u,0.022779555991905148
12,11003,B,15,probe,f,0.018997545600937617
13,11003,B,15,probe,a,0.017145992374835845
14,11003,B,15,probe,a,0.018692549620680343
15,11003,B,15,probe,a,0.023312243937923974
16,11003,B,15,probe,a,0.018664952254949962
17,11003,B,15,probe,u,0.021792865629373475
18,11003,B,20,probe,f,0.0183892791041837
19,11003,B,20,probe,a,0.017954884008994296
20,11003,B,20,probe,a,0.018864417371177725
21,11003,B,20,probe,a,0.021860629405904525
22,11003,B,20,probe,a,0.01636595416692399
23,11003,B,20,probe,u,0.02465998666244105
24,11003,B,25,probe,f,0.017747280781906138
25,11003,B,25,probe,a,0.017431475788836175
26,11003,B,25,probe,a,0.01757720914415205
27,11003,B,25,probe,a,0.02145198939327024
28,11003,B,25,probe,a,0.015811455716718173
29,11003,B,25,probe,u,0.025688483915345523
30,11003,B,30,probe,f,0.01649330477647932
31,11003,B,30,probe,a,0.016936514087275808
32,11003,B,30,probe,a,0.01778502903602526
33,11003,B,30,probe,a,0.02029051091509661
34,11003,B,30,probe,a,0.016667191512639276
35,11003,B,30,probe,u,0.02347072795732494
36,13604,B,5,probe,a,0.017256179563124387
37,13604,B,5,probe,f,0.013261705894763776
38,13604,B,5,probe,f,0.008239968139983683
39,13604,B,5,probe,a,0.015092889688926938
40,13604,B,5,probe,u,0.014336127834920566
41,13604,B,5,probe,a,0.009579359176301459
42,13604,B,10,probe,a,0.01579939189942052
43,13604,B,10,probe,f,0.014179489291107572
44,13604,B,10,probe,f,0.011209340422058208
45,13604,B,10,probe,a,0.013879158398963316
46,13604,B,10,probe,u,0.016948968840245788
47,13604,B,10,probe,a,0.014326320034785383
48,13604,B,15,probe,a,0.017189997893435872
49,13604,B,15,probe,f,0.01589677608115607
50,13604,B,15,probe,f,0.013610597782162098
51,13604,B,15,probe,a,0.013898293425631888
52,13604,B,15,probe,u,0.018444350563645434
53,13604,B,15,probe,a,0.017171338411509383
54,13604,B,20,probe,a,0.018017949441040848
55,13604,B,20,probe,f,0.014550762325238458
56,13604,B,20,probe,f,0.013360590803012823
57,13604,B,20,probe,a,0.015433027112179672
58,13604,B,20,probe,u,0.01717616299293855
59,13604,B,20,probe,a,0.01555817019306707
60,13604,B,25,probe,a,0.016526265559089086
61,13604,B,25,probe,f,0.013591254398891544
62,13604,B,25,probe,f,0.0129039561922783
63,13604,B,25,probe,a,0.015469212763399699
64,13604,B,25,probe,u,0.016546520624526346
65,13604,B,25,probe,a,0.015599802492096474
66,13604,B,30,probe,a,0.015390231068127347
67,13604,B,30,probe,f,0.014926775310446375
68,13604,B,30,probe,f,0.011989100844382941
69,13604,B,30,probe,a,0.014336880361362788
70,13604,B,30,probe,u,0.016296467444338446
71,13604,B,30,probe,a,0.017394953972906323
72,15496,A,5,probe,u,0.02379915142934152
73,15496,A,5,probe,a,0.019943082273457254
74,15496,A,5,probe,a,0.025116344732714846
75,15496,A,5,probe,a,0.022860333003583345
76,15496,A,5,probe,a,0.013846130182057548
77,15496,A,5,probe,f,0.027962694217495178
78,15496,A,10,probe,u,0.028176777713845223
79,15496,A,10,probe,a,0.023358742424265666
80,15496,A,10,probe,a,0.02150290361853991
81,15496,A,10,probe,a,0.022049098682448486
82,15496,A,10,probe,a,0.021201604005444442
83,15496,A,10,probe,f,0.024756964746184926
84,15496,A,15,probe,u,0.028876448333339494
85,15496,A,15,probe,a,0.02231123978863056
86,15496,A,15,probe,a,0.0198051651745223
87,15496,A,15,probe,a,0.021473512476908575
88,15496,A,15,probe,a,0.019190995360741987
89,15496,A,15,probe,f,0.0218969648567146
90,15496,A,20,probe,u,0.026682898617915677
91,15496,A,20,probe,a,0.021160997493975334
92,15496,A,20,probe,a,0.01912431736256852
93,15496,A,20,probe,a,0.021422009339221296
94,15496,A,20,probe,a,0.018123875340590075
95,15496,A,20,probe,f,0.020563552113138366
96,15496,A,25,probe,u,0.02424473086992797
97,15496,A,25,probe,a,0.021907344747801424
98,15496,A,25,probe,a,0.029003998679842668
99,15496,A,25,probe,a,0.020156562219721025
