,Participant,Group,window,report,MW,MSD
0,11003,B,5,probe,f,1.2270483607797098
1,11003,B,5,probe,a,1.2622469208763303
2,11003,B,5,probe,a,0.6768476171968154
3,11003,B,5,probe,a,1.1711388181740006
4,11003,B,5,probe,a,1.4898371640786066
5,11003,B,5,probe,u,1.5295603600092764
6,11003,B,10,probe,f,1.1340853497272236
7,11003,B,10,probe,a,1.1299467043379365
8,11003,B,10,probe,a,0.5294086542539224
9,11003,B,10,probe,a,1.059637781656058
10,11003,B,10,probe,a,1.3434165521948587
11,11003,B,10,probe,u,1.4296439891267212
12,11003,B,15,probe,f,0.9869046876852833
13,11003,B,15,probe,a,0.997215069704144
14,11003,B,15,probe,a,0.7128622276383585
15,11003,B,15,probe,a,0.9230119682515857
16,11003,B,15,probe,a,1.199786800662913
17,11003,B,15,probe,u,1.3195150873312438
18,11003,B,20,probe,f,0.864167072878963
19,11003,B,20,probe,a,0.8795703250583116
20,11003,B,20,probe,a,0.8969929106866142
21,11003,B,20,probe,a,0.784935435148297
22,11003,B,20,probe,a,1.0660226974681615
23,11003,B,20,probe,u,1.1943139475967237
24,11003,B,25,probe,f,0.8484694623005973
25,11003,B,25,probe,a,0.8795757706932844
26,11003,B,25,probe,a,0.9597843097543188
27,11003,B,25,probe,a,0.8265870176862696
28,11003,B,25,probe,a,0.9408434215603708
29,11003,B,25,probe,u,1.0759953869052508
30,11003,B,30,probe,f,0.9570514493129605
31,11003,B,30,probe,a,0.9817142016788608
32,11003,B,30,probe,a,0.9541631577647834
33,11003,B,30,probe,a,0.9292826905478859
34,11003,B,30,probe,a,0.9598408833535332
35,11003,B,30,probe,u,0.9493452252389236
36,13604,B,5,probe,a,0.85033822375747
37,13604,B,5,probe,f,1.3929006381493265
38,13604,B,5,probe,f,0.43167508988174147
39,13604,B,5,probe,a,0.48051830098079185
40,13604,B,5,probe,u,0.42396202995546156
41,13604,B,5,probe,a,0.3962338942100826
42,13604,B,10,probe,a,0.729264968065186
43,13604,B,10,probe,f,1.2558842598518445
44,13604,B,10,probe,f,0.573955548743985
45,13604,B,10,probe,a,1.0241163793315653
46,13604,B,10,probe,u,0.6833526281377983
47,13604,B,10,probe,a,0.6438541331114139
48,13604,B,15,probe,a,0.608372206754718
49,13604,B,15,probe,f,1.139621285198992
50,13604,B,15,probe,f,0.8952293848182423
51,13604,B,15,probe,a,1.1128892985137133
52,13604,B,15,probe,u,0.9522828728107205
53,13604,B,15,probe,a,0.9233551549308457
54,13604,B,20,probe,a,0.7980855168708704
55,13604,B,20,probe,f,1.0029807909654878
56,13604,B,20,probe,f,0.9869783000298142
57,13604,B,20,probe,a,1.1014398118990667
58,13604,B,20,probe,u,1.0170459445072537
59,13604,B,20,probe,a,0.9958699781054131
60,13604,B,25,probe,a,0.9170967294893047
61,13604,B,25,probe,f,0.8644963832757049
62,13604,B,25,probe,f,0.9819718157180393
63,13604,B,25,probe,a,1.0373434988968389
64,13604,B,25,probe,u,0.9983931515200122
65,13604,B,25,probe,a,0.9859361326923167
66,13604,B,30,probe,a,0.9564138020932877
67,13604,B,30,probe,f,0.9355421978301053
68,13604,B,30,probe,f,0.9366287993029151
69,13604,B,30,probe,a,0.9558000277121085
70,13604,B,30,probe,u,0.9518456799028735
71,13604,B,30,probe,a,0.935436940732288
72,15496,A,5,probe,u,1.4431621788328302
73,15496,A,5,probe,a,1.2526426714455774
74,15496,A,5,probe,a,1.394901633369884
75,15496,A,5,probe,a,0.8094681013184141
76,15496,A,5,probe,a,1.340965844498387
77,15496,A,5,probe,f,1.4966057412043847
