,Participant,Group,window,report,MW,MSD
0,11003,B,30,probe,f,0.9570514493129605
1,11003,B,30,probe,a,0.981113227329092
2,11003,B,30,probe,a,0.9538896278526999
3,11003,B,30,probe,a,0.9286306286847275
4,11003,B,30,probe,a,0.9598408833535332
5,11003,B,30,probe,u,0.9493454333296263
6,13604,B,30,probe,a,0.9560630051901892
7,13604,B,30,probe,f,0.9360578318103185
8,13604,B,30,probe,f,0.9356137989089977
9,13604,B,30,probe,a,0.9546266504148958
10,13604,B,30,probe,u,0.9506851896265399
11,13604,B,30,probe,a,0.9343513405712572
12,15496,A,30,probe,u,0.9399072633811965
13,15496,A,30,probe,a,0.9611739594320924
14,15496,A,30,probe,a,0.9440279186331358
15,15496,A,30,probe,a,0.9320310907340776
16,15496,A,30,probe,a,0.9452191866295588
17,15496,A,30,probe,f,1.0065161721156277
18,17431,A,30,probe,a,0.9760788828201826
19,17431,A,30,probe,f,0.95534606254789
20,17431,A,30,probe,f,0.9370015584714075
21,17431,A,30,probe,a,0.9859052126736493
22,17431,A,30,probe,a,0.969413690040363
23,17431,A,30,probe,u,0.9354601019489952
24,17713,A,30,probe,a,1.019488285228853
25,17713,A,30,probe,f,0.949241433130066
26,17713,A,30,probe,f,0.9348371871475653
27,17713,A,30,probe,a,0.9401092667146923
28,17713,A,30,probe,u,0.937962174012621
29,17713,A,30,probe,f,0.9568408211171476
30,17996,B,30,probe,f,0.9314120833504577
31,17996,B,30,probe,a,0.9452882061283504
32,17996,B,30,probe,a,0.9338132985027267
33,17996,B,30,probe,a,0.9334808191613505
34,17996,B,30,probe,u,0.9235839372853062
35,17996,B,30,probe,u,0.9318996464927359
36,18730,A,30,probe,u,1.021864838259702
37,18730,A,30,probe,a,0.9445556024719036
38,18730,A,30,probe,f,0.9324826798781934
39,18730,A,30,probe,u,0.944322339987022
40,18730,A,30,probe,u,0.9869038901769654
41,18730,A,30,probe,f,0.9716753092166223
42,22173,B,30,probe,f,0.9103240130678509
43,22173,B,30,probe,a,1.1040377213757744
44,22173,B,30,probe,a,0.9460465307602797
45,22173,B,30,probe,u,1.0113290981207625
46,22173,B,30,probe,u,1.135893655335043
47,22173,B,30,probe,f,0.9235566975391964
48,24670,A,30,probe,u,0.9424876907089649
49,24670,A,30,probe,a,0.9410171931253619
50,24670,A,30,probe,u,0.9262185543327296
51,24670,A,30,probe,a,1.0083905658302286
52,26191,A,30,probe,f,0.964661424776266
53,26191,A,30,probe,a,0.9992229505253301
54,26191,A,30,probe,f,0.9298769698482727
55,26191,A,30,probe,f,0.9745095873937818
56,26191,A,30,probe,f,0.9521081162013904
57,26191,A,30,probe,f,0.9356853861848948
58,26810,A,30,probe,a,1.2983127671152248
59,26810,A,30,probe,f,1.2729433765254368
60,26810,A,30,probe,u,0.984822559295759
61,26810,A,30,probe,f,1.1556304620769229
62,26810,A,30,probe,u,1.2320932958384874
63,27777,A,30,probe,f,0.9349225209604829
64,27777,A,30,probe,u,0.9586342075793198
65,27777,A,30,probe,f,0.9254168335849776
66,27777,A,30,probe,f,0.955172164233672
67,27777,A,30,probe,f,0.9851248911879915
68,27777,A,30,probe,f,0.9350340034438226
69,28591,A,30,probe,f,0.9778563754154936
70,28591,A,30,probe,a,1.0019978895134083
71,28591,A,30,probe,a,0.9492757482518964
72,28591,A,30,probe,f,1.015354647064556
73,28591,A,30,probe,u,0.8740213972579879
74,28591,A,30,probe,a,0.9011439465613277
75,28942,A,30,probe,a,0.9707124471824897
76,28942,A,30,probe,f,0.950906874031852
77,28942,A,30,probe,a,0.955711778138722
78,28942,A,30,probe,f,0.9459355099351332
79,28942,A,30,probe,u,0.9324727093938108
80,28942,A,30,probe,f,0.9765043881630451
81,29635,B,30,probe,f,0.9227438194690725
82,29635,B,30,probe,u,0.9558301772872947
83,29635,B,30,probe,u,0.923392603582925
84,29635,B,30,probe,a,0.9388099935188038
85,29635,B,30,probe,f,1.3370906339341413
86,29635,B,30,probe,u,1.3296139679497199
87,29899,A,30,probe,a,0.9256571763982233
88,29899,A,30,probe,f,0.9226913840839821
89,29899,A,30,probe,f,0.9893909166559013
90,29899,A,30,probe,u,0.9663792110837284
91,29899,A,30,probe,a,0.9180940347014871
92,29899,A,30,probe,f,0.9411386879907583
93,33611,B,30,probe,a,0.9518447480470679
94,33611,B,30,probe,u,0.948444522705598
95,33611,B,30,probe,u,0.9641744590956753
96,33611,B,30,probe,u,0.9358978062591775
97,33611,B,30,probe,a,0.9364959566826065
98,33611,B,30,probe,u,0.9259826243179085
99,34002,B,30,probe,a,1.664853457641726
100,34002,B,30,probe,a,0.9641799085786178
101,34002,B,30,probe,u,0.9339480006972325
102,34002,B,30,probe,a,0.9337868327821276
103,34002,B,30,probe,a,0.9233919419442741
104,34002,B,30,probe,f,0.9079429907161125
105,36745,B,30,probe,a,0.9543073202167457
106,36745,B,30,probe,u,0.9006785199960224
107,36745,B,30,probe,f,0.9766282834495238
108,36745,B,30,probe,u,0.9162785308343776
109,36745,B,30,probe,f,0.9316595221954775
110,39345,B,30,probe,a,0.9775494263091872
111,39345,B,30,probe,a,0.9356215440862515
112,39345,B,30,probe,f,0.9528741012211688
113,39345,B,30,probe,f,0.9242172324710994
114,39345,B,30,probe,a,0.9438508237082264
115,39345,B,30,probe,a,0.9433905297013193
116,39536,B,30,probe,f,0.9559016822679455
117,39536,B,30,probe,a,1.0027600141644881
118,39536,B,30,probe,f,0.9549889640469045
119,39536,B,30,probe,f,0.9301392067898654
120,39536,B,30,probe,a,0.9640781366490108
121,39536,B,30,probe,u,0.9537716235404875
122,43300,A,30,probe,a,1.0466186588326327
123,43300,A,30,probe,u,1.009939419123243
124,43300,A,30,probe,a,0.9762910569651024
