,Participant,Group,window,report,MW,MSD
0,11003,B,5,self,a,0.031059686908871367
1,11003,B,5,self,f,0.02698355730061791
2,11003,B,5,self,a,0.018011796548429434
3,11003,B,5,self,f,0.20451712823717852
4,11003,B,5,self,a,0.24768616729125875
5,11003,B,5,self,f,0.16928582420302818
6,11003,B,5,self,a,0.16633082755355594
7,11003,B,5,self,f,0.01975668340969567
8,11003,B,5,self,a,0.016721587405413116
9,11003,B,5,self,f,0.021552624182702287
10,11003,B,5,self,a,0.01574328933688884
11,11003,B,5,self,f,0.04729950852111138
12,11003,B,5,self,a,0.07598380449600035
13,11003,B,5,self,f,0.027995750913735098
14,11003,B,5,self,a,0.02650391343096853
15,11003,B,5,self,f,0.013109600030886499
16,11003,B,5,self,a,0.023369481964588535
17,11003,B,5,self,f,0.06969259487842876
18,11003,B,5,self,a,0.08385200784173426
19,11003,B,5,self,f,0.023719819631341486
20,11003,B,5,self,a,0.08615787909691969
21,11003,B,5,self,f,0.02473837840040168
22,11003,B,5,self,a,0.026832091355781268
23,11003,B,5,self,f,0.01308431398431687
24,11003,B,5,self,a,0.021950271173954625
25,11003,B,5,self,f,0.02562857070317988
26,11003,B,5,self,a,0.01970489600657648
27,11003,B,5,self,f,0.020334005124099518
28,11003,B,5,self,a,0.02251900214402045
29,11003,B,5,self,f,0.01653495591717507
30,11003,B,5,self,a,0.027973600864906332
31,11003,B,5,self,f,0.03854593276983524
32,11003,B,5,self,a,0.02818378066490605
33,11003,B,5,self,f,0.023788324346457876
34,11003,B,5,self,a,0.03688415652285759
35,11003,B,5,self,f,0.012747204429045117
36,11003,B,5,self,a,0.02261040131171294
37,11003,B,5,self,f,0.01628405491770785
38,11003,B,5,self,a,0.015858771675102863
39,11003,B,5,self,f,0.03046031041835323
40,11003,B,5,self,a,0.022353985194719254
41,11003,B,5,self,f,0.05317805162875222
42,11003,B,5,self,a,0.031947516718882
43,11003,B,5,self,f,0.06675858625245888
44,11003,B,5,self,a,0.07035312788569817
45,11003,B,5,self,f,0.03273465876328201
46,11003,B,5,self,a,0.017582260802402206
47,11003,B,5,self,f,0.020682319187339242
48,11003,B,5,self,a,0.016766573525940225
49,11003,B,5,self,f,0.1850503262001774
50,11003,B,5,self,a,0.12731620843014507
51,11003,B,5,self,f,0.14933150754815386
52,11003,B,5,self,a,0.2265004024426166
53,11003,B,5,self,f,0.016875086510942463
54,11003,B,5,self,a,0.017119064883359195
55,11003,B,5,self,f,0.02409707192403397
56,11003,B,5,self,a,0.02872465208866317
57,11003,B,5,self,f,0.020750038256876567
58,11003,B,5,self,a,0.023173906512809282
59,11003,B,5,self,f,0.1326031016218521
60,11003,B,5,self,a,0.0959341684757338
61,11003,B,5,self,f,0.09510889287716374
62,11003,B,5,self,a,0.06945678173711398
63,11003,B,5,self,f,0.01552627835363782
64,11003,B,5,self,a,0.056673198281601625
65,11003,B,5,self,f,0.0123327856440566
66,11003,B,5,self,a,0.020584079583598876
67,11003,B,5,self,f,0.025459635697322736
68,11003,B,5,self,a,0.038725146872624204
69,11003,B,5,self,f,0.023986445990141145
70,11003,B,5,self,a,0.017856920717195753
71,11003,B,5,self,f,0.01917054798774544
72,11003,B,5,self,a,0.013906154693241045
73,11003,B,5,self,f,0.018587656011700437
74,11003,B,5,self,a,0.02148389212918736
75,11003,B,5,self,f,0.023713243812558515
76,11003,B,5,self,a,0.02309137288373857
77,11003,B,5,self,f,0.01201422346403459
78,11003,B,5,self,a,0.011515871853670956
79,11003,B,5,self,f,0.16745271037406997
80,11003,B,5,self,a,0.14877869925311732
81,11003,B,5,self,f,0.02641524177543718
82,11003,B,5,self,a,0.012709924232986378
83,11003,B,5,self,f,0.25261366909412913
84,11003,B,5,self,a,0.4183621975831078
85,11003,B,5,self,f,0.22583591509605877
86,11003,B,5,self,a,0.30386489489294327
87,11003,B,5,self,f,0.027991270519940905
88,11003,B,5,self,a,0.019828452417244496
89,11003,B,5,self,f,0.040017011220046236
90,11003,B,5,self,a,0.029353973856923562
91,11003,B,5,self,f,0.018448407410755086
92,11003,B,5,self,a,0.01862601699408346
93,11003,B,5,self,f,0.07695020736621094
94,11003,B,5,self,a,0.014331324454763955
95,11003,B,5,self,f,0.11919432278987205
96,11003,B,5,self,a,0.014831486395447374
97,11003,B,5,self,f,0.11871573715617188
98,11003,B,5,self,a,0.040945014964173895
99,11003,B,5,self,f,0.0791566962828281
100,11003,B,5,self,a,0.1154198017671703
101,11003,B,5,self,f,0.01536231784598449
102,11003,B,5,self,a,0.020555270477733933
103,11003,B,5,self,f,0.027485905564004737
104,11003,B,5,self,a,0.026950488152308237
105,11003,B,5,self,f,0.022969262187614012
106,11003,B,5,self,a,0.029342492445739065
107,11003,B,5,self,f,0.019773226701811048
108,11003,B,5,self,a,0.029101012938751853
109,11003,B,5,self,f,0.031584639729981955
110,11003,B,5,self,a,0.019227717285791656
111,11003,B,5,self,f,0.03858156074147083
